Team,W,L,week1,week2,week3
Air Force,4,8,0,3,1
Akron,5,7,5,3,1
Alabama,10,3,2,2,0
App State,5,7,1,0,1
Arizona,9,3,5,0,2
Arizona St,8,4,1,1,1
Arkansas,2,10,1,1,0
Arkansas St,6,6,2,2,2
Army,6,6,3,0,0
Auburn,5,7,2,1,1
BYU,11,2,4,0,2
Ball St,4,8,3,1,2
Baylor,5,7,2,2,0
Boise St,9,4,0,0,0
Boston College,2,10,1,1,1
Bowling Green,4,8,1,0,0
Buffalo,5,7,2,2,2
C Michigan,7,5,1,1,5
California,7,5,0,1,1
Charlotte,1,11,2,1,2
Cincinnati,7,5,2,2,0
Clemson,7,5,0,2,1
Coastal Car,6,6,5,2,2
Colorado,3,9,2,3,3
Colorado St,2,10,0,1,4
Delaware,6,6,0,1,0
Duke,8,5,1,0,2
E Carolina,8,4,1,2,1
E Michigan,4,8,2,1,1
Florida,4,8,1,4,1
Florida Atlantic,4,8,1,3,1
Florida Intl,7,5,1,3,2
Florida St,5,7,2,0,2
Fresno St,8,4,3,3,1
Georgia,12,1,0,1,1
Georgia So,6,6,2,1,1
Georgia St,1,11,0,0,0
Georgia Tech,9,3,0,0,0
Hawai'i,8,4,0,4,4
Houston,9,3,0,2,2
Illinois,8,4,0,0,1
Indiana,13,0,5,2,2
Iowa,8,4,3,1,0
Iowa St,8,4,3,3,3
J Madison,12,1,3,0,1
Jacksonville St,8,5,1,1,4
Kansas,5,7,0,0,0
Kansas St,6,6,2,2,5
Kennesaw St,10,3,1,3,0
Kent St,5,7,0,0,2
Kentucky,5,7,2,4,4
LSU,7,5,2,1,3
Liberty,4,8,1,1,0
Louisiana,6,6,1,2,2
Louisiana Tech,7,5,1,2,0
Louisville,8,4,0,0,1
Marshall,5,7,2,1,3
Maryland,4,8,1,2,1
Memphis,8,4,2,0,1
Miami,10,2,1,3,2
Miami OH,7,6,1,2,3
Michigan,9,3,1,1,0
Michigan St,4,8,0,0,0
Middle Tenn,3,9,0,2,1
Minnesota,7,5,0,0,1
Mississippi,11,1,3,3,1
Mississippi St,5,7,0,1,2
Missouri,8,4,1,1,3
Missouri St,7,5,2,2,0
N Illinois,3,9,3,0,1
N Texas,11,2,3,3,4
NC State,7,5,1,1,1
Navy,10,2,0,0,2
Nebraska,7,5,1,0,0
Nevada,3,9,1,0,5
New Mexico,9,3,3,3,4
New Mexico St,4,8,2,2,2
North Carolina,4,8,1,2,1
Northwestern,6,6,2,1,5
Notre Dame,10,2,3,0,1
Ohio,8,4,1,1,0
Ohio St,12,1,1,1,0
Oklahoma,10,2,3,3,3
Oklahoma St,1,11,0,0,1
Old Dominion,9,3,2,2,2
Oregon,11,1,1,2,0
Oregon St,2,10,2,1,0
Penn St,6,6,1,1,1
Pittsburgh,8,4,3,3,2
Purdue,2,10,2,1,1
Rice,5,7,0,0,0
Rutgers,5,7,1,1,1
S Alabama,4,8,0,0,1
S Florida,9,3,0,2,1
SMU,8,4,2,4,4
Sam Houston,2,10,2,3,3
San Diego St,9,3,4,1,0
San Jose St,3,9,1,0,0
South Carolina,4,8,2,2,4
Southern Miss,7,5,3,6,0
Stanford,4,8,4,1,1
Syracuse,3,9,1,0,0
TCU,8,4,0,2,1
Temple,5,7,2,0,0
Tennessee,8,4,2,2,2
Texas,9,3,1,1,1
Texas A&M,11,1,0,2,1
Texas St,6,6,1,2,3
Texas Tech,12,1,5,3,2
Toledo,8,4,2,0,3
Troy,8,5,2,2,0
Tulane,11,2,0,1,4
Tulsa,4,8,0,1,0
UAB,4,8,0,1,0
UCF,5,7,1,4,0
UCLA,3,9,2,0,0
UConn,9,3,3,3,0
UL Monroe,3,9,1,1,1
UMass,0,12,1,1,0
UNLV,10,3,1,1,0
USC,9,3,1,2,1
UTEP,2,10,1,1,0
UTSA,6,6,4,1,1
Utah,10,2,3,3,2
Utah St,6,6,0,3,1
Vanderbilt,10,2,0,0,0
Virginia,10,3,2,0,1
Virginia Tech,3,9,1,1,0
W Kentucky,8,4,1,1,0
W Michigan,9,4,2,2,1
Wake Forest,8,4,1,3,0
Washington,8,4,2,0,1
Washington St,6,6,0,0,1
West Virginia,4,8,4,1,1
Wisconsin,4,8,0,2,0
Wyoming,4,8,2,2,0
